ticker,eps,bvps,revenue,debt,dividends,roe,margin,pe,pb,dividend_yield,last_update
EQTY.NR,,,,,,,,,,,2026-03-03
KCB.NR,,,,,,,,,,,2026-03-03
SCOM.NR,,,,,,,,,,,2026-03-03
EABL.NR,,,,,,,,,,,2026-03-03
COOP.NR,,,,,,,,,,,2026-03-03
ABSA.NR,,,,,,,,,,,2026-03-03
BAMB.NR,,,,,,,,,,,2026-03-03
BRIT.NR,,,,,,,,,,,2026-03-03
JUB.NR,,,,,,,,,,,2026-03-03
NCBA.NR,,,,,,,,,,,2026-03-03
